   GV.0	GV.1	MI.0	MI.1	MII.0	MII.1	PN.0	PN.1	CL.0	CL.1	MOR.0	MOR.1	ICM.0	ICM.1	TROPH.0	TROPH.1
AC010226.4	15	8	4	5	8	6	14	15	31	29	7	6	18	9	5	10
AC010240.2	0	0	0	1	0	0	1	1	8	0	5	11	33	13	14	10
AC010243.1	11	7	14	29	27	9	22	12	13	10	4	7	9	0	9	12
AC010524.2	10	5	3	8	6	8	4	6	8	3	0	0	0	0	0	0
AC010642.1	3	1	1	3	1	1	5	0	139	104	24	15	9	20	17	18
AC010677.5	0	0	3	8	0	1	3	1	228	240	63	80	78	90	42	56
AC010740.1	2	9	0	14	8	8	5	3	8	0	0	2	0	0	0	1
AC010883.5	5	10	0	7	1	1	2	2	3	0	3	1	5	3	5	4
AC010894.3	65	58	29	31	21	13	32	18	41	35	1	9	3	10	1	0
AC010894.5	0	0	14	0	0	0	2	0	0	2	3	1	0	1	0	0
AC010930.1	4	7	14	4	5	4	2	2	6	3	0	0	0	1	0	0
AC010967.1	0	1	0	0	0	0	0	2	0	12	0	0	0	0	0	0
AC010974.3	6	6	12	4	4	4	5	4	6	7	0	0	0	0	0	0
AC010976.2	48	57	42	39	42	44	66	63	45	51	17	13	12	7	10	19
AC010980.2	2	3	3	0	2	0	0	1	4	20	3	4	3	3	1	4
AC011225.1	49	50	41	72	47	23	49	44	6	0	0	0	0	0	0	0
AC011247.3	8	13	4	2	6	4	13	4	25	38	6	3	12	5	7	7
AC011288.2	98	96	75	56	62	51	98	64	22	17	5	4	4	11	3	3
AC011498.1	0	0	0	0	0	0	3	0	43	12	6	5	4	10	2	5
AC011523.2	3	2	9	20	0	0	2	1	1	1	1	0	0	0	1	0
AC011747.4	2	0	0	1	4	0	4	10	3	2	0	0	0	0	0	0
AC011747.6	12	10	4	5	22	7	18	10	6	5	0	0	0	0	0	0
AC011899.9	9	8	2	15	19	6	15	8	0	5	0	1	0	0	0	0
AC011933.2	0	2	1	2	1	4	2	2	15	8	5	2	9	6	8	3
AC011995.1	16	22	3	1	14	9	15	9	0	3	0	1	0	0	0	0
AC011997.1	2	1	0	0	1	0	0	0	16	17	0	2	3	11	1	7
AC012065.7	4	2	0	18	0	0	6	0	14	0	3	1	0	7	6	2
AC012066.1	1	1	3	0	1	1	0	3	9	12	12	23	24	41	7	18
AC012146.7	32	38	20	27	17	6	23	12	41	44	43	59	58	54	36	50
AC012358.4	0	0	3	3	3	0	4	1	25	42	4	8	17	15	5	5
AC012358.8	11	12	6	20	12	8	14	15	47	43	48	36	24	39	14	19
AC012360.1	0	0	0	0	0	0	0	0	2	5	10	10	9	5	3	10
AC012360.6	13	20	84	37	0	0	4	4	11	13	33	22	17	20	32	34
AC012365.3	76	87	47	32	57	41	96	76	15	6	0	0	0	0	0	0
AC012506.2	24	40	23	19	45	26	24	32	28	7	0	0	0	0	0	0
AC012506.3	4	1	0	2	6	2	7	9	11	5	1	0	0	0	0	5
AC012507.3	0	0	0	0	0	0	2	1	21	0	0	1	1	0	0	0
AC012512.1	1	3	0	1	0	1	2	1	61	59	30	42	12	9	23	21
AC012513.6	24	19	21	14	21	12	21	22	8	8	0	0	1	0	0	0
