   GV.0	GV.1	MI.0	MI.1	MII.0	MII.1	PN.0	PN.1	CL.0	CL.1	MOR.0	MOR.1	ICM.0	ICM.1	TROPH.0	TROPH.1
AC012531.25	1	0	19	13	0	1	4	2	0	10	2	1	0	2	2	2
AC012668.2	112	106	163	153	113	77	111	100	49	56	1	0	1	0	2	4
AC013268.3	70	60	58	61	79	36	54	66	28	22	0	0	0	2	3	1
AC013394.2	103	91	359	349	333	201	533	411	474	263	490	541	561	511	620	763
AC013463.2	25	32	29	54	12	14	44	20	38	18	4	1	2	2	3	1
AC013733.3	0	0	0	0	0	0	0	0	10	1	0	0	0	0	0	0
AC015849.2	0	0	0	5	0	1	0	0	8	5	4	1	11	2	1	0
AC015922.5	17	23	12	7	14	10	29	18	85	83	53	39	27	32	39	41
AC015933.2	123	166	111	152	41	27	63	49	10	23	0	0	4	2	3	6
AC015971.2	79	68	49	78	90	40	76	62	61	36	11	12	26	19	16	12
AC015987.1	876	861	799	829	786	437	670	509	98	83	13	6	7	4	1	4
AC016292.1	0	0	0	0	0	0	0	0	0	3	3	2	10	9	4	2
AC016582.2	15	4	11	6	6	7	3	17	1	0	2	1	0	0	0	0
AC016682.1	0	1	0	11	3	1	1	0	0	0	0	0	0	0	0	0
AC016700.2	20	19	4	5	8	17	19	6	5	3	0	0	3	3	0	2
AC016708.2	99	134	128	122	104	82	209	166	427	442	339	307	253	236	416	396
AC016710.1	1	1	0	4	0	0	1	0	18	7	3	9	4	3	6	8
AC016717.1	11	11	12	15	17	7	5	5	0	0	0	0	0	0	0	0
AC016722.4	2	0	1	0	0	0	1	1	3	0	6	2	6	7	14	9
AC016730.1	82	69	74	79	89	53	95	80	54	28	0	0	0	0	1	3
AC016735.2	11	7	4	6	1	1	13	8	2	0	0	1	2	1	2	2
AC016739.2	10	5	35	27	20	6	16	16	72	28	71	60	80	46	78	106
AC016747.3	18	8	11	5	10	3	9	10	2	4	3	1	1	4	2	1
AC016773.1	61	66	108	127	82	48	66	42	38	39	24	28	37	50	34	30
AC016831.7	2	9	14	18	2	1	3	3	4	4	10	2	12	2	6	1
AC016903.2	4	3	20	0	10	2	9	3	16	12	0	0	0	0	0	0
AC017002.4	9	5	9	11	12	7	7	7	5	0	0	0	2	0	0	0
AC017048.2	25	23	21	21	17	17	17	20	11	4	0	1	0	0	0	0
AC017060.1	10	4	0	8	1	5	4	2	3	2	0	0	0	0	0	0
AC017074.1	9	12	27	21	20	7	22	22	5	2	1	0	0	0	0	0
AC017074.2	68	43	53	37	57	30	73	88	16	14	0	0	0	1	0	0
AC017104.2	92	122	63	73	68	35	73	68	52	30	14	23	20	20	15	23
AC018359.1	347	444	259	295	204	104	223	201	54	30	3	0	0	0	0	1
AC018442.1	0	0	0	0	0	0	0	0	0	0	0	2	0	12	2	1
AC018463.4	73	48	46	43	50	42	57	42	50	31	19	32	18	20	26	30
AC018647.3	6	1	11	2	1	1	2	2	3	4	2	0	0	0	0	1
AC018696.4	10	12	11	13	19	6	19	24	5	2	0	0	0	0	0	0
AC018731.3	10	14	20	30	12	7	27	16	2	0	0	0	0	0	0	1
AC018737.3	85	127	41	40	41	19	66	60	25	26	3	2	1	0	1	0
AC018738.2	4	5	6	7	5	3	9	4	8	20	6	13	9	5	16	8
AC018799.1	4	0	14	6	3	0	2	4	0	9	0	1	0	0	0	3
AC018804.7	159	168	114	101	117	61	125	103	437	302	93	78	31	39	77	93
AC018816.3	11	14	5	7	2	1	0	2	0	0	0	0	0	0	0	0
AC018890.6	3	0	11	6	6	6	5	9	21	9	8	14	5	14	27	22
AC018892.9	9	3	11	4	1	2	5	6	5	5	0	1	0	1	2	2
AC019097.7	410	397	671	694	540	290	357	301	349	252	208	197	80	108	171	198
AC019117.1	19	25	12	14	16	14	34	20	22	26	0	0	0	0	0	2
AC019172.2	9	6	12	3	14	3	7	5	4	2	0	0	0	0	0	0
AC019181.2	3	2	0	3	2	0	1	1	0	3	10	9	6	1	3	0
AC019221.4	4	6	9	5	7	2	6	5	14	7	5	2	1	8	3	1
AC019294.1	25	39	13	37	17	12	22	16	11	14	0	4	1	2	0	0
AC020571.3	8	8	24	25	1	2	82	63	38	39	180	211	76	104	207	178
AC021224.1	21	18	2	5	26	24	31	22	27	26	15	24	6	10	14	36
AC021876.4	11	11	2	17	10	3	8	5	3	4	10	5	26	13	10	6
AC022182.1	19	25	7	26	7	11	18	9	0	7	1	0	0	0	0	0
AC022201.4	4	5	5	13	4	4	10	13	8	10	0	1	0	0	0	2
AC022498.1	1	2	1	6	0	0	0	0	10	5	16	22	37	34	23	17
AC022532.1	2	1	10	3	1	1	2	5	4	1	2	2	5	1	5	2
AC022819.1	0	0	0	0	0	1	0	0	14	2	0	1	0	4	2	2
AC023115.4	4	9	2	12	6	1	7	9	4	3	0	2	0	0	0	0
AC023469.1	1	3	0	1	0	0	0	3	1	11	0	0	0	0	0	0
AC023490.1	1	11	0	3	8	4	2	2	6	3	5	6	11	12	7	16
AC023632.1	0	0	0	0	5	0	0	0	0	4	6	7	17	0	13	5
AC024084.1	133	136	256	115	152	90	425	344	424	455	29	56	19	22	18	37
AC024257.1	1	0	0	8	0	0	0	0	10	0	0	1	0	0	0	0
AC024560.3	47	92	33	37	68	53	96	73	45	52	5	6	4	3	2	12
AC024569.1	4	4	14	1	10	8	6	6	9	0	0	0	0	0	0	1
AC024592.9	2	9	17	0	2	4	13	6	92	74	16	21	1	1	1	4
AC024937.6	2	0	5	0	1	6	2	0	3	19	12	11	21	12	7	4
AC025016.1	13	17	6	7	9	5	4	4	1	5	3	1	5	8	3	2
AC025171.1	0	0	10	0	0	0	2	1	31	52	3	9	1	6	7	2
AC025278.1	0	3	0	0	0	1	6	0	98	68	2	2	0	1	0	0
AC025627.7	2	0	11	6	0	1	2	0	0	3	1	1	0	0	2	0
AC026271.5	14231	11922	12565	12406	13676	7421	24784	21296	7812	5893	1338	1496	979	986	1176	1556
AC026310.1	0	0	18	4	0	0	4	0	33	14	18	16	30	21	8	16
AC026740.1	8	19	8	12	8	8	8	9	12	9	29	32	30	49	29	36
AC026806.2	8	10	31	31	33	20	8	6	14	2	47	24	29	29	17	10
AC027119.1	1	2	0	1	0	0	2	0	11	9	3	0	6	2	2	9
AC027228.1	1	1	15	2	1	0	2	1	3	9	0	1	0	0	1	0
AC027601.1	32	33	31	36	25	17	36	29	132	86	58	64	28	59	61	97
AC027612.3	3	1	1	4	4	3	2	2	3	16	0	3	0	6	2	2
AC027612.4	17	17	3	9	15	14	25	25	43	17	1	2	0	0	0	2
AC027612.6	10	11	4	6	1	2	5	7	4	2	5	6	3	1	4	6
AC034110.1	1	0	0	0	0	0	0	0	16	2	6	0	0	0	1	1
AC034228.4	0	0	0	0	0	0	0	0	26	3	0	0	0	0	4	5
AC046143.2	0	1	0	0	0	0	0	0	13	12	1	1	0	4	0	3
AC046143.3	0	0	8	7	0	0	2	0	21	11	1	4	2	0	7	6
AC053503.4	0	2	0	0	2	0	5	3	111	117	2	0	0	0	0	7
AC060834.3	42	52	22	31	28	15	35	17	43	23	0	1	0	0	0	2
AC061992.2	6	5	10	7	10	4	9	3	0	5	0	2	0	0	3	2
AC062017.1	7	8	13	13	9	13	7	9	12	8	2	1	1	5	1	2
AC062029.1	411	493	363	310	434	305	567	431	207	189	7	12	6	7	4	7
AC062032.1	84	88	70	70	86	47	94	82	13	8	1	0	0	0	0	0
AC064834.1	205	246	308	352	309	191	485	374	100	85	2	3	0	1	4	3
AC064834.2	8	16	3	11	20	14	18	17	29	6	1	1	0	0	2	1
AC067945.4	1	6	0	2	4	6	4	0	11	3	0	0	0	0	0	2
AC067956.1	22	11	19	20	10	2	16	15	25	11	2	0	0	2	0	0
AC067959.1	13	18	28	9	5	8	7	6	5	0	0	0	0	0	1	0
AC068039.4	0	1	0	0	0	0	0	1	19	19	2	6	5	10	3	10
AC068044.1	2	2	0	0	0	0	1	1	0	11	0	0	0	0	0	0
AC068134.10	73	90	31	27	44	36	58	51	11	7	3	8	1	2	9	8
AC068137.13	0	0	0	0	0	0	0	1	13	7	1	5	1	0	0	3
AC068282.3	14	16	4	5	1	3	13	18	7	11	5	4	12	4	17	10
AC068580.6	8	4	7	5	1	0	1	2	7	3	13	28	13	28	8	14
AC068831.10	10	19	2	13	9	11	18	17	15	13	7	2	0	2	1	4
AC069213.1	344	448	163	170	239	204	344	251	191	199	14	20	4	5	12	18
AC069277.2	0	0	0	0	1	0	1	0	3	6	17	8	13	31	18	16
AC069282.6	1	2	15	1	0	0	1	2	5	1	67	67	54	67	61	62
AC069547.1	51	63	65	61	77	63	51	66	36	26	26	14	18	12	27	20
AC069547.2	0	0	0	0	0	0	0	0	0	0	10	5	11	10	8	15
AC072061.2	39	54	36	34	74	49	90	79	123	90	14	15	6	7	4	5
AC072062.1	23	31	28	6	8	16	10	13	12	5	6	17	12	14	11	12
AC073046.25	4224	4327	3813	4479	6093	4289	8047	7265	3129	2911	123	170	87	59	100	211
AC073133.1	92	111	77	70	40	28	34	46	21	17	1	1	0	0	0	1
AC073135.3	3	0	0	0	1	1	6	2	115	111	5	4	0	0	3	5
AC073150.6	5	15	6	10	3	6	6	6	1	3	1	0	0	0	0	0
AC073283.7	3	2	2	0	3	1	7	1	11	1	5	5	0	6	5	3
AC073284.4	287	420	257	324	222	149	182	116	44	30	1	1	0	0	0	1
AC073343.13	18	16	10	6	15	11	13	10	18	39	3	6	2	1	0	2
AC073415.2	2	11	6	13	4	1	2	2	1	1	0	4	3	0	3	6
AC073597.1	2	2	7	17	1	1	4	3	8	0	0	0	0	0	0	0
AC073842.19	0	0	0	9	0	0	1	0	19	17	7	1	5	2	1	3
AC073869.1	5	5	8	16	15	10	8	10	0	8	0	0	0	0	0	0
AC074117.10	21	25	15	37	11	20	49	21	596	427	206	238	182	203	209	237
AC074183.4	2	3	4	5	8	1	1	2	22	14	13	9	1	8	6	6
AC074212.5	9	12	1	8	12	9	4	5	6	7	2	2	1	2	0	3
AC074212.6	7	14	9	3	5	3	6	5	25	15	11	13	13	4	7	12
AC074289.1	91	120	72	132	75	49	74	69	24	31	3	4	18	7	3	7
AC074363.1	4	12	8	11	8	8	10	6	0	8	0	0	0	0	0	0
AC074389.5	287	342	293	388	515	383	720	542	474	377	4	10	13	3	4	18
AC074391.1	58	71	49	41	24	23	40	39	57	39	5	9	12	18	2	3
AC078852.2	0	3	2	5	1	0	1	0	15	8	0	0	5	3	0	0
AC078899.1	95	103	128	107	121	71	156	126	57	46	43	34	26	29	38	55
AC078899.3	24	24	45	32	23	6	56	21	665	539	113	95	95	132	45	83
AC078942.1	292	331	97	106	175	150	163	127	43	58	1	0	0	0	2	2
AC079117.1	0	2	0	0	0	0	1	0	2	10	1	8	6	3	3	5
AC079135.1	34	29	19	22	27	17	38	21	13	15	8	2	0	4	1	0
AC079145.4	8	12	9	6	7	2	10	10	0	2	2	0	1	0	0	0
AC079210.1	0	3	2	0	6	2	3	1	9	6	4	4	6	13	3	7
AC079305.10	18	30	13	19	10	6	10	4	3	11	5	5	2	0	7	7
AC079354.2	6	11	2	0	2	5	3	8	3	4	0	1	0	0	1	0
AC079354.3	7	9	10	10	1	0	2	1	1	0	0	0	0	0	0	0
AC079466.1	1	2	0	1	0	0	3	0	0	0	4	9	30	8	5	9
AC079612.1	0	0	0	0	0	0	3	0	15	5	0	0	0	4	0	0
AC079779.4	0	0	0	8	3	0	0	2	21	1	0	3	0	0	4	5
AC079779.7	13	11	24	6	6	5	8	11	5	6	0	0	0	0	0	0
AC079780.3	15	16	4	4	17	7	21	14	9	3	3	2	0	0	4	0
AC079807.2	96	138	239	264	206	175	197	145	131	110	42	39	43	36	45	50
AC079807.3	0	0	0	0	0	0	0	0	11	7	1	1	15	9	10	7
AC079922.2	4	1	3	3	4	4	6	4	22	12	27	21	40	19	13	31
AC083822.2	0	0	0	0	0	0	0	0	11	1	0	1	5	0	2	2
AC083864.4	6	14	12	25	11	18	20	30	4	6	1	0	0	0	0	3
AC083899.3	150	148	175	269	194	107	293	206	164	117	52	51	44	43	49	47
AC084082.3	1	0	0	0	1	1	0	1	5	14	4	0	0	1	1	1
AC084125.4	5	8	5	14	6	3	9	3	12	4	8	8	24	27	18	26
AC084809.3	838	1062	468	623	133	117	117	116	48	42	0	0	0	0	0	1
AC087239.1	0	0	0	2	0	0	0	0	4	7	8	11	6	7	11	4
AC087294.2	24	24	10	3	3	12	10	12	29	19	21	17	10	16	23	25
AC087499.5	7	9	8	9	5	10	12	8	6	1	4	0	3	0	7	0
AC090286.2	0	0	0	1	0	0	0	1	22	12	2	2	12	2	1	2
AC090505.6	0	1	0	0	0	0	5	1	20	19	0	5	0	0	2	1
AC090587.2	1	2	3	0	5	1	10	3	4	6	6	8	11	4	9	4
AC090774.2	0	1	0	0	0	0	3	0	26	8	1	0	0	0	0	0
AC090804.1	0	0	3	0	0	0	0	0	1	1	10	4	0	5	1	2
AC090945.1	7	5	7	22	6	1	2	2	13	0	6	6	3	9	15	9
AC091132.1	2	2	2	0	0	0	0	0	17	6	5	5	1	6	4	2
AC091167.1	49	47	32	28	42	31	37	34	9	7	1	0	0	0	0	0
AC091492.2	5	2	1	1	1	1	3	13	7	12	5	8	18	6	2	6
AC091633.2	9	6	6	7	4	4	7	4	34	17	25	22	33	15	27	40
AC091729.7	0	0	0	0	0	0	1	0	9	2	2	3	7	10	2	4
AC091729.9	162	178	154	111	148	122	143	111	93	64	21	17	13	4	19	38
AC091801.1	14	12	5	7	12	6	19	8	9	8	1	0	0	0	0	0
AC092162.1	12	18	14	11	12	5	22	7	3	3	0	0	0	0	0	0
AC092168.2	73	67	40	49	37	19	32	31	38	27	4	3	0	0	0	0
AC092171.2	15	6	12	5	3	4	5	3	6	3	3	3	26	12	8	5
AC092171.4	480	579	236	413	382	265	389	310	189	196	311	322	196	164	395	431
AC092198.1	0	0	0	0	0	0	1	1	14	2	0	0	0	0	0	0
AC092296.1	23	25	36	22	36	32	42	37	35	33	0	0	0	1	0	1
AC092301.3	4	1	0	0	0	0	0	1	21	23	19	17	13	11	35	21
AC092535.3	2	0	0	0	0	0	2	0	11	22	14	5	12	3	12	15
AC092620.2	0	0	0	0	4	4	0	0	0	2	4	3	15	13	4	3
AC092620.3	0	0	13	0	0	0	0	0	0	0	4	1	4	4	0	0
AC092635.1	35	35	16	14	49	28	32	41	8	14	0	0	0	0	0	1
AC092646.1	54	64	84	43	54	27	90	52	51	20	1	1	0	0	1	0
AC092646.3	6	1	1	6	12	3	7	3	0	0	0	0	0	0	0	0
AC092667.2	23	23	13	9	17	16	11	17	11	3	0	0	0	0	0	1
AC092687.3	4	5	2	0	2	2	5	9	17	5	0	0	0	0	0	0
AC092811.1	3	3	0	0	0	0	2	1	7	9	6	2	2	10	11	4
AC092835.2	1069	1132	1364	1460	1710	1063	1519	1317	893	706	47	43	10	24	42	50
AC092850.1	11	17	10	7	6	2	16	11	2	6	0	0	0	0	0	1
AC093107.7	1	1	0	8	1	0	1	0	15	1	0	0	0	0	1	0
AC093159.1	14	19	13	15	8	3	29	10	10	11	2	0	0	0	4	1
AC093162.5	1	1	0	0	2	1	1	1	19	14	3	7	11	8	6	5
AC093323.3	214	260	99	127	132	97	165	120	64	69	217	168	160	107	206	221
AC093326.3	20	13	2	25	16	8	30	20	7	20	0	0	0	3	0	0
AC093495.4	8	10	5	11	4	2	6	6	0	1	1	5	9	5	7	4
AC093590.1	2	4	4	6	3	6	9	10	4	6	0	0	0	0	0	0
AC093620.5	1	0	2	0	0	0	1	0	3	8	4	2	14	8	4	9
AC093627.10	0	5	0	6	0	0	2	0	20	13	5	1	0	2	0	1
AC093642.5	1393	1801	1915	2012	2265	1535	2147	1694	672	493	44	55	44	26	40	51
AC093838.4	62	62	79	66	17	11	69	31	772	798	263	275	264	254	312	355
AC093843.1	18	17	10	5	4	2	5	0	10	0	0	0	0	0	0	0
AC093847.1	0	0	0	0	1	0	0	0	16	3	37	43	13	10	32	4
AC093850.2	3	5	10	11	9	4	3	4	0	3	0	0	0	0	0	0
AC096559.1	231	273	114	163	109	81	149	115	49	35	5	6	1	3	0	5
AC096570.2	23	33	10	31	20	14	21	30	2	5	0	0	0	0	0	0
AC096574.4	1	3	3	10	6	2	2	2	5	8	4	5	11	1	11	1
AC096574.5	79	73	34	42	49	25	62	57	29	21	2	2	0	1	6	6
AC096582.1	68	81	53	39	65	48	75	47	22	12	1	0	0	0	0	2
AC096582.7	21	26	24	35	38	29	43	27	27	14	4	8	4	13	8	5
AC096649.2	9	10	8	6	5	9	18	13	7	12	2	0	0	1	3	4
AC096649.3	0	0	0	0	0	1	2	1	57	32	4	2	4	9	6	10
AC096677.1	1	0	1	0	0	1	3	0	0	0	8	7	14	24	6	2
AC097381.1	3	8	3	0	8	5	11	7	5	9	2	0	0	1	2	1
AC097467.2	31	32	25	34	34	20	32	20	22	12	4	6	7	2	0	2
AC097499.1	0	0	0	0	0	0	0	0	0	0	4	0	3	11	3	4
AC097523.3	0	0	0	0	0	1	0	1	6	0	1	0	10	0	1	1
AC097532.2	0	0	0	0	0	0	0	0	0	4	15	8	13	8	11	5
AC097639.8	61	73	41	47	47	35	68	60	15	7	4	1	5	2	1	1
AC097711.1	4	2	0	2	5	2	7	4	8	12	1	4	1	4	2	3
AC097721.2	0	10	1	4	3	2	5	0	2	1	0	0	0	2	3	1
AC098614.2	4	3	5	16	2	0	8	4	0	1	35	44	22	22	40	57
AC098617.1	107	141	55	25	115	85	111	77	58	48	9	14	2	9	5	7
AC098869.1	0	0	0	0	0	0	0	0	0	0	6	0	12	6	3	0
AC098872.3	2	0	0	0	0	0	0	0	11	1	6	3	3	8	5	1
AC098973.2	11	22	0	12	13	6	18	12	21	6	28	21	12	13	11	18
AC099048.1	7	4	1	8	8	4	13	11	0	1	2	1	1	2	2	0
AC099684.1	0	0	0	0	0	0	4	1	19	3	0	2	2	2	0	1
AC099850.1	30	15	6	18	12	8	26	12	9	4	15	16	10	13	19	30
AC100802.3	4	12	0	2	4	2	2	3	1	0	0	0	0	0	0	0
AC100830.3	0	2	1	0	0	0	0	1	0	5	18	10	33	26	11	28
AC102948.2	0	0	0	0	0	0	0	0	24	9	2	3	1	0	0	1
AC103863.1	0	0	0	0	0	0	1	0	11	9	0	0	0	0	0	0
AC103881.1	22	31	16	30	21	10	28	15	4	5	2	3	0	0	0	0
AC104088.1	10	17	8	5	14	8	25	15	4	22	2	0	5	1	3	1
AC104134.2	9	5	7	21	5	8	16	17	67	41	24	22	21	14	10	14
AC104389.16	34	30	56	22	49	32	35	28	18	7	0	0	0	0	0	1
AC104389.31	2	7	0	0	4	2	1	2	0	8	0	4	10	4	3	0
AC104389.32	0	0	0	0	0	0	0	0	0	0	0	3	15	3	0	0
AC104651.1	1	1	10	1	3	1	2	3	0	1	2	0	1	3	1	0
AC104654.2	8	16	6	18	9	6	8	11	4	6	0	0	0	0	0	1
AC104667.3	12	26	8	18	14	8	17	9	14	15	0	3	0	0	4	1
AC104777.3	36	40	20	10	12	11	14	20	8	9	0	0	0	0	0	0
AC104777.4	0	2	10	0	0	0	0	0	0	0	0	1	0	0	1	0
AC104809.3	4	4	0	0	1	0	5	5	4	10	3	1	0	0	0	2
AC104820.2	6	11	3	25	5	2	4	2	0	0	4	1	7	1	0	0
AC105399.2	6	5	28	15	18	9	17	8	61	34	37	43	28	55	41	45
AC106874.1	15	25	6	27	15	10	22	23	5	11	0	0	0	0	0	1
AC107021.1	1	2	12	14	4	0	3	0	3	0	4	5	1	1	2	0
AC107072.2	2	2	0	0	0	0	0	0	1	0	7	5	16	5	8	5
AC107081.5	7	5	3	3	4	0	3	2	0	0	11	8	29	13	26	18
AC107399.2	25	60	26	42	41	28	57	44	19	11	0	0	0	0	0	1
AC108479.2	9	16	1	7	7	10	5	6	35	6	14	14	8	14	12	22
AC109829.1	4	5	10	13	12	3	4	2	13	17	1	3	1	4	2	0
AC110299.5	0	0	0	0	0	0	0	0	0	15	1	1	0	4	8	0
AC110615.1	4	7	2	0	4	6	8	3	18	5	4	5	6	7	8	9
AC110769.3	0	0	0	0	2	0	0	0	10	3	0	3	0	0	4	0
AC110781.3	12	8	22	4	12	6	7	7	29	14	14	10	23	17	10	14
AC113617.1	241	249	177	190	138	70	144	105	45	40	2	0	0	1	0	1
AC114755.7	2	1	0	0	0	1	0	0	13	6	0	1	0	0	1	2
AC114763.1	0	4	0	0	0	0	1	0	0	0	10	4	5	8	1	1
AC114765.1	32	24	12	32	6	11	15	23	6	9	0	0	0	0	1	0
AC114765.2	5	2	10	0	3	2	0	1	3	1	0	0	0	1	4	0
AC116035.1	7	8	3	6	11	9	7	14	2	0	1	0	0	0	0	0
AC116050.1	0	3	2	3	1	0	3	0	17	3	3	7	2	0	3	5
AC117395.1	2	4	0	1	5	0	2	4	26	6	16	13	14	8	16	14
AC122136.2	229	314	218	355	287	183	235	186	91	86	3	3	2	2	3	5
AC123023.1	124	179	168	156	195	114	174	123	29	19	0	0	0	0	0	0
AC125232.1	2	5	1	0	1	3	2	2	1	18	2	3	1	6	4	2
AC125421.1	69	77	39	47	45	41	71	41	37	14	0	0	0	0	0	0
AC126365.1	6	2	2	1	2	1	3	3	17	10	6	7	19	20	7	12
AC126614.1	0	0	0	0	0	0	3	0	1	2	2	5	16	3	2	1
AC127496.1	1	5	0	4	0	2	0	2	8	18	10	14	13	4	29	19
AC127904.2	0	1	0	0	0	0	1	0	37	15	6	21	19	12	9	30
AC131025.8	0	2	0	0	0	0	1	0	16	2	2	0	0	0	0	0
AC132807.1	0	5	0	10	1	2	5	5	2	4	0	0	5	0	3	0
AC132872.1	2	0	5	7	1	1	5	5	13	3	10	11	21	12	12	9
AC132872.2	1	1	3	7	0	0	3	0	21	20	10	19	13	18	23	28
AC133528.2	12	14	11	4	4	2	4	3	5	13	15	17	6	2	22	17
AC133680.1	1570	2014	1563	1618	1313	826	1707	1396	926	801	32	50	12	18	28	50
AC137932.4	74	108	37	82	76	52	46	43	41	59	21	21	39	31	24	26
AC137932.5	4	3	6	14	0	1	1	3	9	4	4	22	24	27	15	16
AC137932.6	1	0	3	0	0	0	3	5	2	11	16	12	13	21	8	6
AC137934.1	4212	4612	3588	4029	5707	3921	4823	3896	1437	1187	13	20	7	3	13	58
AC138035.2	1	2	0	2	1	1	3	4	29	20	3	5	1	10	3	5
AC138623.1	0	1	6	0	6	3	6	8	2	12	0	0	0	0	1	0
AC139085.2	7	3	8	16	20	4	11	11	15	7	27	36	62	45	24	44
AC139099.4	490	749	220	337	266	194	338	280	144	145	4	4	0	0	0	6
AC139099.6	16	35	17	21	9	5	14	18	7	2	1	0	0	0	1	0
AC139100.3	264	255	217	304	190	109	274	250	108	61	0	5	2	0	7	6
AC139103.1	1	0	3	6	2	0	1	1	13	15	4	1	4	0	0	0
AC139712.2	274	432	331	374	303	227	292	217	160	188	5	1	0	0	1	0
AC141586.5	132	198	130	176	161	127	180	130	83	96	44	57	66	70	64	59
AC144449.1	106	145	64	44	19	20	28	33	17	22	3	2	2	2	1	5
AC144450.1	18	13	5	5	18	10	22	22	12	7	0	0	0	0	1	0
AC144530.1	7	7	14	7	2	2	7	0	60	15	45	56	97	39	57	88
AC144831.1	2	4	5	17	0	3	5	3	17	20	16	9	22	16	13	19
AC147651.2	62	89	55	53	72	48	73	76	25	23	0	0	0	0	0	1
AC156455.1	23	30	13	6	11	11	21	20	17	9	69	79	68	47	44	79
AC253576.1	1	0	0	0	1	1	0	0	6	8	17	15	14	14	7	11
AC253576.2	0	1	8	0	0	0	0	0	3	0	3	4	13	6	5	8
ACAA1	16	19	18	7	10	10	10	7	6	7	2	5	1	6	8	4
ACAA2	27	26	30	17	21	11	16	22	9	11	20	21	17	24	22	33
ACACA	25	43	36	45	31	16	27	28	29	36	13	24	23	31	39	32
ACACB	278	342	225	294	291	212	341	282	355	348	51	55	69	40	27	31
ACAD10	256	278	127	228	149	130	175	163	260	325	308	302	209	269	262	369
ACAD8	671	875	516	740	994	612	1038	795	362	284	240	259	180	184	315	354
ACAD9	2128	2218	1599	1738	1929	1298	2171	1908	818	671	425	424	369	326	450	456
ACADM	362	339	216	150	202	127	144	169	135	87	466	466	368	388	616	537
ACADS	128	173	97	153	92	65	107	73	72	53	247	238	307	312	285	261
ACADSB	458	452	624	525	579	335	595	509	467	358	391	328	148	196	459	565
ACADVL	1733	2193	1354	1569	712	453	932	793	452	370	830	793	982	1017	1028	1118
ACAN	74	75	147	355	23	24	59	54	57	37	8	8	11	13	5	2
ACAP1	13	18	10	17	4	3	17	11	55	29	21	17	13	17	15	19
ACAP2	10	27	27	40	28	16	29	20	45	37	9	8	1	8	11	18
ACAP3	7	10	11	7	4	3	2	4	1	2	1	5	3	4	5	5
ACAT1	2448	3010	2986	3126	2075	1293	1235	1051	406	294	497	548	316	309	714	598
ACAT2	1026	1278	1074	1031	1049	656	1855	1526	788	676	1373	1327	870	720	2011	2040
ACBD3	23	31	40	51	42	32	38	38	68	44	4	7	8	3	10	7
ACBD4	69	98	60	61	48	31	39	29	47	32	7	10	13	9	1	6
ACBD5	0	0	0	0	0	1	3	1	16	13	2	2	4	0	0	6
ACBD6	17	11	12	19	17	4	37	32	25	29	9	17	11	4	1	8
ACCS	37	31	66	25	21	8	29	19	54	40	3	2	0	0	4	0
ACCSL	26559	31538	34459	37855	57091	36553	70673	60495	26033	22779	198	212	47	23	83	865
ACD	68	97	77	107	52	45	57	48	29	15	5	7	4	5	11	10
ACE	20	19	35	34	16	13	40	18	162	113	509	575	591	505	387	334
ACE2	28	40	18	20	4	7	7	6	1	4	5	18	6	1	16	14
ACER2	98	77	127	96	83	66	114	85	508	433	219	184	249	251	171	199
ACER3	889	967	793	838	960	690	1133	969	495	418	503	501	336	301	536	504
ACHE	1	7	7	2	2	3	4	0	13	6	1	1	1	0	1	1
ACIN1	40	48	66	98	61	55	82	71	64	93	42	38	65	58	33	55
ACKR2	313	404	470	416	403	229	409	356	202	174	249	295	292	252	591	595
ACKR3	3	7	0	5	0	0	2	3	12	2	63	61	58	45	77	70
ACKR4	90	101	82	119	116	49	79	78	29	28	8	5	2	1	0	5
ACLY	191	285	217	268	225	181	259	216	155	140	32	47	38	30	50	82
ACN9	162	175	190	258	151	114	291	213	695	446	348	348	217	178	327	386
ACO1	3018	3575	2295	2424	2989	1856	3339	2784	1175	1097	1033	1170	633	510	1224	1239
ACO2	2831	3727	2772	2877	2770	2037	3500	2734	2374	2232	1160	1303	1017	1091	1455	1663
ACOT1	116	171	101	121	198	117	352	259	77	49	10	8	9	7	4	17
ACOT11	29	39	17	32	37	17	33	45	628	601	199	205	240	206	103	106
ACOT13	1232	1554	1250	1178	502	391	656	502	296	315	212	185	186	196	189	269
ACOT2	228	265	279	335	352	239	593	486	244	211	23	31	15	20	22	32
ACOT4	507	569	248	310	160	132	267	182	387	257	38	50	14	26	69	45
ACOT7	23	34	28	26	27	22	15	15	21	26	17	10	5	24	16	14
ACOT8	1	12	4	11	4	4	3	10	1	1	5	4	1	3	4	0
ACOT9	9	16	43	32	17	12	14	9	14	4	3	5	2	1	0	8
ACOX1	7	11	13	14	8	9	12	5	8	9	9	11	9	17	13	14
ACOX3	9	16	15	23	13	11	9	9	15	8	2	4	0	1	0	2
ACOXL	195	228	294	278	196	130	331	267	179	145	270	258	305	388	285	390
ACP1	1058	1225	1234	1259	1206	738	1467	1120	2165	1815	1464	1371	951	905	1374	1440
ACP5	4	10	6	6	4	0	2	2	0	3	7	7	1	7	5	6
ACPP	6	12	20	31	2	2	7	5	19	5	54	71	92	101	55	48
ACPT	53	91	38	43	43	35	33	39	30	52	35	58	33	25	35	31
ACR	72	111	103	176	132	86	132	105	81	60	4	2	0	2	0	5
